degree_name,course_rubric,course_number,course_name,other_component_name,other_component_hours
Fitness and Human Performance B.S. with Grades EC-12 Physical Education Certification,WRIT,1301,Composition I,University Core Requirements,42
Fitness and Human Performance B.S. with Grades EC-12 Physical Education Certification,WRIT,1302,Composition II,University Core Requirements,42
Fitness and Human Performance B.S. with Grades EC-12 Physical Education Certification,MATH,1314,College Algebra,University Core Requirements,42
Fitness and Human Performance B.S. with Grades EC-12 Physical Education Certification,BIOL,1306,Biology for Science Majors I,University Core Requirements,42
Fitness and Human Performance B.S. with Grades EC-12 Physical Education Certification,BIOL,1307,Biology for Science Majors II,University Core Requirements,42
Fitness and Human Performance B.S. with Grades EC-12 Physical Education Certification,HUMN,1301,Humanities,University Core Requirements,42
Fitness and Human Performance B.S. with Grades EC-12 Physical Education Certification,LITR,2341,Literature and Experience,University Core Requirements,42
Fitness and Human Performance B.S. with Grades EC-12 Physical Education Certification,PHIL,1301,Introduction to Philosophy,University Core Requirements,42
Fitness and Human Performance B.S. with Grades EC-12 Physical Education Certification,WGST,1301,Gender Matters: Introduction to Women's and Gender Studies,University Core Requirements,42
Fitness and Human Performance B.S. with Grades EC-12 Physical Education Certification,ARTS,1303,World Art Survey I,University Core Requirements,42
Fitness and Human Performance B.S. with Grades EC-12 Physical Education Certification,ARTS,1304,World Art Survey II,University Core Requirements,42
Fitness and Human Performance B.S. with Grades EC-12 Physical Education Certification,ARTS,2379,Arts and the Child,University Core Requirements,42
Fitness and Human Performance B.S. with Grades EC-12 Physical Education Certification,HIST,1301,United States History I,University Core Requirements,42
Fitness and Human Performance B.S. with Grades EC-12 Physical Education Certification,HIST,1302,United States History II,University Core Requirements,42
Fitness and Human Performance B.S. with Grades EC-12 Physical Education Certification,POLS,2305,Federal Government,University Core Requirements,42
Fitness and Human Performance B.S. with Grades EC-12 Physical Education Certification,POLS,2306,Texas Government,University Core Requirements,42
Fitness and Human Performance B.S. with Grades EC-12 Physical Education Certification,ECON,2301,Principles of Macroeconomics,University Core Requirements,42
Fitness and Human Performance B.S. with Grades EC-12 Physical Education Certification,ECON,2302,Principles of Microeconomics,University Core Requirements,42
Fitness and Human Performance B.S. with Grades EC-12 Physical Education Certification,PSYC,2301,Introduction to Psychology,University Core Requirements,42
Fitness and Human Performance B.S. with Grades EC-12 Physical Education Certification,COMM,1315,Public Speaking,University Core Requirements,42
Fitness and Human Performance B.S. with Grades EC-12 Physical Education Certification,PSYC,1100,Learning Frameworks,University Core Requirements,42
Fitness and Human Performance B.S. with Grades EC-12 Physical Education Certification,WRIT,3304,Writing for Education,College of Human Sciences and Humanities Core Requirements,6
Fitness and Human Performance B.S. with Grades EC-12 Physical Education Certification,WRIT,3306,Writing for the Social Sciences,College of Human Sciences and Humanities Core Requirements,6
Fitness and Human Performance B.S. with Grades EC-12 Physical Education Certification,WRIT,3307,Advanced Writing,College of Human Sciences and Humanities Core Requirements,6
Fitness and Human Performance B.S.,WRIT,1301,Composition I,University Core Requirements,42
Fitness and Human Performance B.S. with Grades EC-12 Physical Education Certification,ANTH,3362,"Medicine, Bodies, and Culture",College of Human Sciences and Humanities Core Requirements,6
Fitness and Human Performance B.S. with Grades EC-12 Physical Education Certification,GEOG,4301,Urban Geography,College of Human Sciences and Humanities Core Requirements,6
