degree name,course id,course name,component area,guidance,component guidance,requirement area
Fitness and Human Performance B.S. with Grades EC-12 Physical Education Certification,WRIT 1301,Composition I Credit Hours: 3,University Core Requirements 42 Hours,"Students seeking teacher certification for physical education may complete the following program of study. A secondary teaching field in Life Science, Special Education, or Social Studies is required for this concentration.",,Communication 6 hours
Fitness and Human Performance B.S. with Grades EC-12 Physical Education Certification,WRIT 1302,Composition II Credit Hours: 3,University Core Requirements 42 Hours,"Students seeking teacher certification for physical education may complete the following program of study. A secondary teaching field in Life Science, Special Education, or Social Studies is required for this concentration.",,Communication 6 hours
Fitness and Human Performance B.S. with Grades EC-12 Physical Education Certification,MATH 1314,College Algebra Credit Hours: 3,University Core Requirements 42 Hours,"Students seeking teacher certification for physical education may complete the following program of study. A secondary teaching field in Life Science, Special Education, or Social Studies is required for this concentration.",,Mathematics 3 hours
Fitness and Human Performance B.S. with Grades EC-12 Physical Education Certification,BIOL 1306,Biology for Science Majors I Credit Hours: 3,University Core Requirements 42 Hours,"Students seeking teacher certification for physical education may complete the following program of study. A secondary teaching field in Life Science, Special Education, or Social Studies is required for this concentration.",,Life and Physical Sciences 6 hours
Fitness and Human Performance B.S. with Grades EC-12 Physical Education Certification,BIOL 1307,Biology for Science Majors II Credit Hours: 3,University Core Requirements 42 Hours,"Students seeking teacher certification for physical education may complete the following program of study. A secondary teaching field in Life Science, Special Education, or Social Studies is required for this concentration.",,Life and Physical Sciences 6 hours
Fitness and Human Performance B.S. with Grades EC-12 Physical Education Certification,HUMN 1301,Humanities Credit Hours: 3,University Core Requirements 42 Hours,"Students seeking teacher certification for physical education may complete the following program of study. A secondary teaching field in Life Science, Special Education, or Social Studies is required for this concentration.",Choose ONE of the following courses.,"Language, Philosophy and Culture 3 hours"
Fitness and Human Performance B.S. with Grades EC-12 Physical Education Certification,LITR 2341,Literature and Experience Credit Hours: 3,University Core Requirements 42 Hours,"Students seeking teacher certification for physical education may complete the following program of study. A secondary teaching field in Life Science, Special Education, or Social Studies is required for this concentration.",Choose ONE of the following courses.,"Language, Philosophy and Culture 3 hours"
Fitness and Human Performance B.S. with Grades EC-12 Physical Education Certification,PHIL 1301,Introduction to Philosophy Credit Hours: 3,University Core Requirements 42 Hours,"Students seeking teacher certification for physical education may complete the following program of study. A secondary teaching field in Life Science, Special Education, or Social Studies is required for this concentration.",Choose ONE of the following courses.,"Language, Philosophy and Culture 3 hours"
Fitness and Human Performance B.S. with Grades EC-12 Physical Education Certification,WGST 1301,Gender Matters: Introduction to Women's and Gender Studies Credit Hours: 3,University Core Requirements 42 Hours,"Students seeking teacher certification for physical education may complete the following program of study. A secondary teaching field in Life Science, Special Education, or Social Studies is required for this concentration.",Choose ONE of the following courses.,"Language, Philosophy and Culture 3 hours"
Fitness and Human Performance B.S. with Grades EC-12 Physical Education Certification,ARTS 1303,World Art Survey I Credit Hours: 3,University Core Requirements 42 Hours,"Students seeking teacher certification for physical education may complete the following program of study. A secondary teaching field in Life Science, Special Education, or Social Studies is required for this concentration.",Choose ONE of the following courses.,Creative Arts 3 Hours
Fitness and Human Performance B.S. with Grades EC-12 Physical Education Certification,ARTS 1304,World Art Survey II Credit Hours: 3,University Core Requirements 42 Hours,"Students seeking teacher certification for physical education may complete the following program of study. A secondary teaching field in Life Science, Special Education, or Social Studies is required for this concentration.",Choose ONE of the following courses.,Creative Arts 3 Hours
Fitness and Human Performance B.S. with Grades EC-12 Physical Education Certification,ARTS 2379,Arts and the Child Credit Hours: 3,University Core Requirements 42 Hours,"Students seeking teacher certification for physical education may complete the following program of study. A secondary teaching field in Life Science, Special Education, or Social Studies is required for this concentration.",Choose ONE of the following courses.,Creative Arts 3 Hours
Fitness and Human Performance B.S. with Grades EC-12 Physical Education Certification,HIST 1301,United States History I Credit Hours: 3,University Core Requirements 42 Hours,"Students seeking teacher certification for physical education may complete the following program of study. A secondary teaching field in Life Science, Special Education, or Social Studies is required for this concentration.",Choose ONE of the following courses.,U.S. History 6 hours
Fitness and Human Performance B.S. with Grades EC-12 Physical Education Certification,HIST 1302,United States History II Credit Hours: 3,University Core Requirements 42 Hours,"Students seeking teacher certification for physical education may complete the following program of study. A secondary teaching field in Life Science, Special Education, or Social Studies is required for this concentration.",Choose ONE of the following courses.,U.S. History 6 hours
Fitness and Human Performance B.S. with Grades EC-12 Physical Education Certification,POLS 2305,Federal Government Credit Hours: 3,University Core Requirements 42 Hours,"Students seeking teacher certification for physical education may complete the following program of study. A secondary teaching field in Life Science, Special Education, or Social Studies is required for this concentration.",Choose ONE of the following courses.,Government/ Political Science 6 hours
Fitness and Human Performance B.S. with Grades EC-12 Physical Education Certification,POLS 2306,Texas Government Credit Hours: 3,University Core Requirements 42 Hours,"Students seeking teacher certification for physical education may complete the following program of study. A secondary teaching field in Life Science, Special Education, or Social Studies is required for this concentration.",Choose ONE of the following courses.,Government/ Political Science 6 hours
Fitness and Human Performance B.S. with Grades EC-12 Physical Education Certification,ECON 2301,Principles of Macroeconomics Credit Hours: 3,University Core Requirements 42 Hours,"Students seeking teacher certification for physical education may complete the following program of study. A secondary teaching field in Life Science, Special Education, or Social Studies is required for this concentration.",Choose ONE of the following courses.,Social Behavioral Sciences 3 hours
Fitness and Human Performance B.S. with Grades EC-12 Physical Education Certification,ECON 2302,Principles of Microeconomics Credit Hours: 3,University Core Requirements 42 Hours,"Students seeking teacher certification for physical education may complete the following program of study. A secondary teaching field in Life Science, Special Education, or Social Studies is required for this concentration.",Choose ONE of the following courses.,Social Behavioral Sciences 3 hours
Fitness and Human Performance B.S. with Grades EC-12 Physical Education Certification,PSYC 2301,Introduction to Psychology Credit Hours: 3,University Core Requirements 42 Hours,"Students seeking teacher certification for physical education may complete the following program of study. A secondary teaching field in Life Science, Special Education, or Social Studies is required for this concentration.",Choose ONE of the following courses.,Social Behavioral Sciences 3 hours
Fitness and Human Performance B.S. with Grades EC-12 Physical Education Certification,COMM 1315,Public Speaking Credit Hours: 3,University Core Requirements 42 Hours,"Students seeking teacher certification for physical education may complete the following program of study. A secondary teaching field in Life Science, Special Education, or Social Studies is required for this concentration.",ECON 2301 or ECON 2302 is required for students obtaining teacher certification.,Public Speaking 3 hours
Fitness and Human Performance B.S. with Grades EC-12 Physical Education Certification,PSYC 1100,Learning Frameworks Credit Hours: 1,University Core Requirements 42 Hours,"Students seeking teacher certification for physical education may complete the following program of study. A secondary teaching field in Life Science, Special Education, or Social Studies is required for this concentration.",,Component Area Options 3 hours
