component_code,course_rubric,course_number,TCCNS_rubric,TCCNS_number,course_name,SCH,FICE,school_name
10,ENGL,1301,,,Composition I,3,3607,Alamo Community College District
10,ENGL,1302,,,Composition II,3,3607,Alamo Community College District
20,MATH,1314,,,College Algebra (3 SCH version),3,3607,Alamo Community College District
20,MATH,1324,,,Mathematics for Business & Social Sciences,3,3607,Alamo Community College District
20,MATH,1332,,,Contemporary Mathematics (Quantitative Reasoning),3,3607,Alamo Community College District
20,MATH,1414,,,College Algebra (4 SCH version),4,3607,Alamo Community College District
20,MATH,1442,,,"Elementary Statistical Methods (4 SCH version, freshman level)",4,3607,Alamo Community College District
20,MATH,2412,,,Pre-Calculus Math (4 SCH version),4,3607,Alamo Community College District
20,MATH,2413,,,Calculus I (4 SCH version),4,3607,Alamo Community College District
30,ANTH,2301,,,Physical Anthropology (lecture),3,3607,Alamo Community College District
30,ASTR,1303,,,Stars and Galaxies (lecture),3,3607,Alamo Community College District
30,ASTR,1304,,,Solar System (lecture),3,3607,Alamo Community College District
30,BIOL,1308,,,Biology for Non-Science Majors I (lecture),3,3607,Alamo Community College District
30,BIOL,1309,,,Biology for Non-Science Majors II (lecture),3,3607,Alamo Community College District
30,BIOL,1322,,,Nutrition & Diet Therapy,3,3607,Alamo Community College District
30,BIOL,1323,,,Nutrition & Diet Therapy II,3,3607,Alamo Community College District
30,BIOL,1406,,,Biology for Science Majors I (lecture + lab),4,3607,Alamo Community College District
30,BIOL,1407,,,Biology for Science Majors II (lecture + lab),4,3607,Alamo Community College District
30,BIOL,1408,,,Biology for Non-Science Majors I (lecture + lab),4,3607,Alamo Community College District
30,BIOL,1409,,,Biology for Non-Science Majors II (lecture + lab),4,3607,Alamo Community College District
30,BIOL,1411,,,General Botany (lecture + lab),4,3607,Alamo Community College District
30,BIOL,1413,,,General Zoology (lecture + lab),4,3607,Alamo Community College District
30,BIOL,2306,,,Environmental Biology (lecture),3,3607,Alamo Community College District
30,BIOL,2401,,,Anatomy & Physiology I (lecture + lab),4,3607,Alamo Community College District
30,BIOL,2402,,,Anatomy & Physiology II (lecture + lab),4,3607,Alamo Community College District
30,BIOL,2404,,,"Anatomy & Physiology (specialized, single-semester course, lecture + lab)",4,3607,Alamo Community College District
30,BIOL,2406,,,Environmental Biology (lecture + lab),4,3607,Alamo Community College District
30,BIOL,2420,,,Microbiology for Non-Science Majors (lecture + lab),4,3607,Alamo Community College District
30,CHEM,1305,,,Introductory Chemistry I (lecture),3,3607,Alamo Community College District
30,CHEM,1307,,,Introductory Chemistry II (lecture),3,3607,Alamo Community College District
30,CHEM,1311,,,General Chemistry I (lecture),3,3607,Alamo Community College District
30,CHEM,1312,,,General Chemistry II (lecture),3,3607,Alamo Community College District
30,CHEM,1405,,,Introductory Chemistry I (lecture + lab),4,3607,Alamo Community College District
30,CHEM,1407,,,Introductory Chemistry II (lecture + lab),4,3607,Alamo Community College District
30,CHEM,1411,,,General Chemistry I (lecture + lab),4,3607,Alamo Community College District
30,CHEM,1412,,,General Chemistry II (lecture + lab),4,3607,Alamo Community College District
30,GEOG,1301,,,Physical Geography,3,3607,Alamo Community College District
30,GEOL,1301,,,Earth Sciences for Non-Science Majors I (lecture),3,3607,Alamo Community College District
30,GEOL,1303,,,Physical Geology (lecture),3,3607,Alamo Community College District
30,GEOL,1304,,,Historical Geology (lecture),3,3607,Alamo Community College District
30,GEOL,1305,,,Environmental Science (lecture),3,3607,Alamo Community College District
30,GEOL,1345,,,Oceanography (lecture),3,3607,Alamo Community College District
30,GEOL,1401,,,Earth Sciences for Non-Science Majors  I (lecture + lab),4,3607,Alamo Community College District
30,GEOL,1403,,,Physical Geology (lecture + lab),4,3607,Alamo Community College District
30,GEOL,1404,,,Historical Geology (lecture + lab),4,3607,Alamo Community College District
30,PHYS,1301,,,College Physics I (lecture),3,3607,Alamo Community College District
30,PHYS,1305,,,Elementary Physics I (lecture),3,3607,Alamo Community College District
30,PHYS,1401,,,College Physics I (lecture + lab),4,3607,Alamo Community College District
30,PHYS,2425,,,University Physics I (lecture + lab),4,3607,Alamo Community College District
30,PHYS,2426,,,University Physics II (lecture + lab),4,3607,Alamo Community College District
40,ARAB,2311,,,Intermediate Arabic I,3,3607,Alamo Community College District
40,ARAB,2312,,,Intermediate Arabic II,3,3607,Alamo Community College District
