Common Course Title,Common Course Prefix,Common Course Number,Abilene Christian University,Alvin Community College,Amarillo College,Angelina College,Angelo State University,Austin Community College,Baylor University,Blinn College,Brazosport College,Central Texas College,Cisco College,Clarendon College,Coastal Bend College,College of the Mainland,Collin County Community College District,Dallas Baptist University,Dallas County Community College District,DCCCD Brookhaven College,DCCCD Cedar Valley College,DCCCD Eastfield College,DCCCD El Centro College,DCCCD Mountain View College,DCCCD North Lake College,DCCCD Richland College,Del Mar College,East Texas Baptist University,El Paso Community College District,Frank Phillips College,Galveston College,Grayson College,Hardin-Simmons University,Hill College,Houston Baptist University,Houston Community College System,Howard College,Howard Payne University,Huston-Tillotson University,Jacksonville College,Kilgore College,Lamar Institute of Technology-Beaumont,Lamar State College- Port Arthur,Lamar State College-Orange,Lamar University,Laredo Community College,Lee College,LeTourneau University,Lon Morris College (Closed in 2012),Lone Star College System,Lone Star College System-CyFair,Lone Star College System-Kingwood,Lone Star College System-Montgomery,Lone Star College System-North Harris,Lone Star College System-Tomball,McLennan Community College,McMurry University,Midland College,Midwestern State University,Navarro College,North Central Texas College,Northeast Lakeview College,Northeast Texas Community College,Northwest Vista College,Odessa College,Our Lady of the Lake University,Palo Alto College,Panola College,Paris Junior College,Prairie View A&M University,Ranger College,Sam Houston State University,San Antonio College,San Jacinto College Central,San Jacinto College District,San Jacinto College North,San Jacinto College South,South Plains College,South Texas College,Southern Methodist University,Southwest Collegiate Institute for the Deaf,Southwest Texas Junior College,Southwestern University,St. Mary's University,St. Philip's College,Stephen F. Austin State University,Sul Ross State University,Tarleton State University,Tarrant County College District,Temple College,Texarkana College,Texas A&M International University,Texas A&M University,Texas A&M University-Commerce,Texas A&M University-Corpus Christi,Texas A&M University-Galveston,Texas A&M University-Kingsville,Texas A&M University-Texarkana,Texas Southern University,Texas Southmost College,Texas State Technical College System,Texas State Technical College-Harlingen,Texas State Technical College-Marshall,Texas State Technical College-Waco,Texas State Technical College-West Texas,Texas State University,Texas Tech University,Texas Wesleyan University,Texas Woman's University,Trinity Valley Community College,Tyler Junior College,University of Houston,University of Houston-Clear Lake,University of Houston-Downtown,University of Houston-Victoria,University of Mary Hardin-Baylor,University of North Texas,University of North Texas at Dallas,University of St. Thomas,University of Texas - Rio Grande Valley,University of Texas at Arlington,University of Texas at Austin,University of Texas at Dallas,University of Texas at El Paso,University of Texas at San Antonio,University of Texas at Tyler,University of Texas Health Science Center at Houston,University of Texas Health Science Center at San Antonio,University of Texas of the Permian Basin,University of the Incarnate Word,Vernon College,Victoria College,Wayland Baptist University,Weatherford College,West Texas A&M University,Western Texas College,Wharton County Junior College,Wiley College
Principles of Financial Accounting,ACCT,2301,ACCT 210,ACCT 2301,ACCT 2301,ACCT 2301,ACCT 2301,ACCT 2301,,ACCT 2301,,ACCT 2301,ACCT 2301,ACCT 2301,,ACCT 2301,ACCT 2301,ACCT 2301,ACCT 2301,,,,,,,,BA 611A,ACCT 2301,ACCT 2301,,ACCT 2301,ACCT 2301,ACCT 2311,,ACCT 2301,ACCT 2301,ACCT 2301,ACC 2311,,,,ACCT 2301,,ACCT 2301,ACCT 2301,,,ACCT 2103,,,,,,,,ACCT 2301,ACCT 2310,ACCT 2301,ACCT 2143,ACCT 2301,ACCT 2301,ACCT 2301,ACCT 2301,ACCT 2301,ACCT 2301,ACCT 2311,ACCT 2301,,ACCT 2301,,ACCT 2301,ACCT 2301,ACCT 2301,,ACCT 2301,,,ACCT 2301,,,BUS 1301,ACCT 2301,ACC36 003,ES 1100,ACCT 2301,ACC 231,ACC 2301,ACCT 2301,ACCT 2301,ACCT 2301,ACCT 2301,ACC 2301,ACCT 229,ACCT 221,ACCT 2301,ACCT 229,ACCT 2301,ACCT 2301,ACCT 231,ACCT 2301,,,,,,ACC 2361,ACCT 2300,ACC 2303,BUS 2043,,ACCT 2301,ACCT 2331,ACCT 2301,ACC 2301,,BACC 2311,ACCT 2010,ACCT 2010,ACCT 1341,ACCT 2301,ACCT 2301,ACC 311,ACCT 2301,ACCT 2301,ACC 2013,ACCT 2301,,,ACCT 2301,ACCT 2311,,ACCT 2301,ACCT 2305,ACCT 2301,ACCT 2301,ACCT 2301,ACCT 2301,ACCT 2311
Principles of Managerial Accounting,ACCT,2302,ACCT 211,ACCT 2302,ACCT 2302,ACCT 2302,ACCT 2302,ACCT 2302,,ACCT 2302,,ACCT 2302,ACCT 2302,ACCT 2302,,ACCT 2302,ACCT 2302,ACCT 2302,ACCT 2302,,,,,,,,BA 611B,ACCT 2302,ACCT 2302,,ACCT 2302,ACCT 2302,ACCT 2312,,ACCT 2303,ACCT 2302,ACCT 2302,ACC 2321,,,,ACCT 2302,,ACCT 2302,ACCT 2302,,,ACCT 2113,,,,,,,,ACCT 2302,,ACCT 2302,ACCT 2243,ACCT 2302,ACCT 2302,ACCT 2302,ACCT 2302,ACCT 2302,ACCT 2302,ACCT 2312,ACCT 2302,,ACCT 2302,,ACCT 2302,ACCT 2302,ACCT 2302,,ACCT 2302,,,ACCT 2302,,,BUS 1302,ACCT 2302,ACC36 003,AC 2320,ACCT 2302,ACC 232,ACC 2302,ACCT 2302,ACCT 2302,ACCT 2302,ACCT 2302,ACC 2302,ACCT 230,ACCT 222,ACCT 2302,ACCT 230,ACCT 2302,ACCT 2302,ACCT 232,ACCT 2302,,ACCT 2302,,,,ACC 2362,ACCT 2301,ACC 2304,BUS 2053,,ACCT 2302,ACCT 2332,ACCT 2302,ACC 2302,,BACC 2312,ACCT 2020,ACCT 2020,ACCT 1342,ACCT 2302,ACCT 2302,ACC 312,ACCT 2302,ACCT 2302,ACC 2033,ACCT 2302,,,ACCT 2302,ACCT 2312,,ACCT 2302,ACCT 2306,ACCT 2302,ACCT 2302,ACCT 2302,ACCT 2302,ACCT 2322
Principles of Financial Accounting,ACCT,2401,ACCT 210,,,,,,,,ACCT 2401,,,,BUS 455,,,ACCT 2301,,,,,,,,,,,,,,,,ACCT 2401,,,ACCT 2401,,,ACCT 2401,ACCT 2401,,,,,ACCT 2401,ACCT 2401,,,ACCT 2401,,,,,,ACCT 2401,,,,,,,,,,,,BUA 440,,,,,,,,,,,ACCT 2401,,,ACCT 2401,ACC36 004,,,,,,,,,,ACCT 229,,,ACCT 229,,,,,,,,,,,ACCT 2300,,BUS 2043,ACCT 2401,,,,,,,,ACCT 2010,ACCT 1341,,,ACC 411,,,,,,,,,ACCT 2401,,,,,,,
Principles of Managerial Accounting,ACCT,2402,ACCT 211,,,,,,,,ACCT 2402,,,,BUS 456,,,ACCT 2302,,,,,,,,,,,,,,,,ACCT 2402,,,ACCT 2402,,,ACCT 2402,ACCT 2402,,,,,ACCT 2402,ACCT 2402,,,ACCT 2402,,,,,,ACCT 2402,,,,,,,,,,,,BUA 441,,,,,,,,,,,ACCT 2402,,,ACCT 2402,ACC36 004,,,,,,,,,,ACCT 230,,,ACCT 230,,,,,,,,,,,ACCT 2301,,BUS 2053,ACCT 2402,,,,,,,,ACCT 2020,ACCT 1342,,,ACC 412,,,,,,,,,ACCT 2402,,,,,,,
Horticulture (lab),AGRI,1115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AGRI 1115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HORT 202,,,HORT 202,,,,,,,,,,,,,,,,,,,,,,,GENE 1000,,,,,,,,,,,,,,,,,,,
Introductory Animal Science (lab),AGRI,1119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AGRI 1119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ANSC 108,,,ANSC 108,,,,,,,,,,,,,,,,,,,,,,,GENE 1000,,,,,,,,,,,,,,,,,,,
The Agricultural Industry,AGRI,1131,,,,,,,,AGRI 1131,,AGRI 1131,AGRI 1131,AGRI 1131,,,,,,,,,,,,,,,,,,,,,,AGRI 1131,AGRI 1131,,,,,,,,,,,,,,,,,,,AGRI 1131,,,,AGRI 1131,AGRI 1131,,AGRI 1131,,,,AGRI 1131,,AGRI 1131,,,AGRI 1131,,,AGRI 1131,,,,,,,,,,,AGR 100,,,,,,,AGLS 101,,,AGLS 101,,,,,,,,,,AG 1110,,,,AGRI 1131,,,,,,,,,GENE 1000,,,,,,,,,,,,AGRI 1131,,,AGRI 1131,,AGRI 1131,,
The Agricultural Industry,AGRI,1231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GENE 1000,,,,,,,,,,,,,,,,,,,
Agronomy,AGRI,1307,,,,,,,,AGRI 1307,,,AGRI 1307,AGRI 1307,,,,,,,,,,,,,,,,,,,,AGR 1307,,AGRI 1307,,,,AGRI 1407,,,,,,,,,,,,,,,,,,,,AGRI 1307,,,AGRI 1307,,,,AGRI 1307,AGRI 1307,,,AGRI 1307,AGRI 1307,,,,,,AGRI 1307,,,,AGRI 1307,,,,,,WSES 1305,,,,,SCSC 105,,,SCSC 105,,,,,,,,,,AG 2313,PSS 1321,,,,,,,,,,,,GENE 1000,,,,,,,,,,,,,,,,PSES 1307,AGRI 1407,,
Computers in Agriculture,AGRI,1309,,,,,ASCI 1309,,,,,AGRI 1309,,,,,,,,,,,,,,,,,,,,,,AGR 1309,,AGRI 1309,AGRI 1309,,,AGRI 1309,,,,,,,,,,,,,,,,AGRI 1309,,,,,AGRI 1309,,,,AGRI 1309,,,AGRI 1309,AGRI 1309,,,AGRI 1309,,,AGRI 1309,,,AGRI 1309,,,,AGRI 1309,,,,,,AGRI 1309,,,,,,,,,,,,,,,,,,AG 2390,AGSC 2300,,,,,,,,,,,,GENE 1000,,,,,,,,,,,,,,,,,AGRI 1309,,
