program_name|program_slug|course_name|course_number|course_rubric|requirement|component
Accounting, B.B.A.|accounting-b-b-a| Financial Reporting Frameworks|3366|ACCT|Accounting Major Coursework (36 Credit Hours)|Additional Requirements
Accounting, B.B.A.|accounting-b-b-a| Intermediate Accounting I|3367|ACCT|Accounting Major Coursework (36 Credit Hours)|Additional Requirements
Accounting, B.B.A.|accounting-b-b-a| Intermediate Accounting II|3368|ACCT|Accounting Major Coursework (36 Credit Hours)|Additional Requirements
Accounting, B.B.A.|accounting-b-b-a| Accounting Information Systems|3371|ACCT|Accounting Major Coursework (36 Credit Hours)|Additional Requirements
Accounting, B.B.A.|accounting-b-b-a| Cost Accounting|3377|ACCT|Accounting Major Coursework (36 Credit Hours)|Additional Requirements
Accounting, B.B.A.|accounting-b-b-a| Federal Income Tax-Individual|4331|ACCT|Accounting Major Coursework (36 Credit Hours)|Additional Requirements
Accounting, B.B.A.|accounting-b-b-a| Financial Statement Auditing|4335|ACCT|Accounting Major Coursework (36 Credit Hours)|Additional Requirements
Accounting, B.B.A.|accounting-b-b-a| First Year Writing I|1303|ENGL|UH Core Courses & College Requirements|Additional Requirements
Accounting, B.B.A.|accounting-b-b-a| First Year Writing II|1304|ENGL|UH Core Courses & College Requirements|Additional Requirements
Accounting, B.B.A.|accounting-b-b-a| Connecting Bauer to Business|3302|GENB|UH Core Courses & College Requirements|Additional Requirements
Accounting, B.B.A.|accounting-b-b-a| Introduction to Psychology|1300|PSYC|UH Core Courses & College Requirements|Additional Requirements
Accounting, B.B.A.|accounting-b-b-a| Introduction to Sociology|1300|SOC|UH Core Courses & College Requirements|Additional Requirements
Accounting, B.B.A.|accounting-b-b-a| Introduction to Computers and Management Information Systems|3300|MIS|Pre-Business Courses|Additional Requirements
Accounting, B.B.A.|accounting-b-b-a| Finite Math with Applications|1313|MATH|Pre-Business Courses|Additional Requirements
Accounting, B.B.A.|accounting-b-b-a| Calculus for Business and the Life Sciences|1314|MATH|Pre-Business Courses|Additional Requirements
Accounting, B.B.A.|accounting-b-b-a| Calculus I|1431|MATH|Pre-Business Courses|Additional Requirements
Accounting, B.B.A.|accounting-b-b-a|Financial|2331|ACCT|Pre-Business Courses|Additional Requirements
Accounting, B.B.A.|accounting-b-b-a| Accounting Principles 2 -Managerial|2332|ACCT|Pre-Business Courses|Additional Requirements
Accounting, B.B.A.|accounting-b-b-a| Microeconomic Principles|2304|ECON|Pre-Business Courses|Additional Requirements
Accounting, B.B.A.|accounting-b-b-a| Macroeconomic Principles|2305|ECON|Pre-Business Courses|Additional Requirements
Accounting, B.B.A.|accounting-b-b-a| Statistical Analysis for Business Applications I|3331|STAT|Statistics 3331 - Statistical Analysis for Business Applications|Additional Requirements
Accounting, B.B.A.|accounting-b-b-a| The United States To 1877|1376|HIST|Additional UH Core Courses|Additional Requirements
Accounting, B.B.A.|accounting-b-b-a| The U S To 1877|1377|HIST|Additional UH Core Courses|Additional Requirements
Accounting, B.B.A.|accounting-b-b-a| The U S Since 1877|1378|HIST|Additional UH Core Courses|Additional Requirements
Accounting, B.B.A.|accounting-b-b-a| The United States Since 1877|1379|HIST|Additional UH Core Courses|Additional Requirements
Accounting, B.B.A.|accounting-b-b-a| U.S. and Texas Constitution and Politics|1336|POLS|Additional UH Core Courses|Additional Requirements
Accounting, B.B.A.|accounting-b-b-a| U.S. Government: Congress, President, and Courts|1337|POLS|Additional UH Core Courses|Additional Requirements
Accounting, B.B.A.|accounting-b-b-a| Service and Manufacturing Operations|3301|SCM|Advanced-Level Business Required Courses|Additional Requirements
Accounting, B.B.A.|accounting-b-b-a| Principles of Financial Management|3332|FINA|Advanced-Level Business Required Courses|Additional Requirements
Accounting, B.B.A.|accounting-b-b-a| Introduction to Organizational Behavior and Management|3335|MANA|Advanced-Level Business Required Courses|Additional Requirements
Accounting, B.B.A.|accounting-b-b-a| Introduction to Marketing|3336|MARK|Advanced-Level Business Required Courses|Additional Requirements
Accounting, B.B.A.|accounting-b-b-a| Professional Selling|3337|MARK|Advanced-Level Business Required Courses|Additional Requirements
Accounting, B.B.A.|accounting-b-b-a| Business and Professional Communication|3356|COMM|Advanced-Level Business Required Courses|Additional Requirements
Accounting, B.B.A.|accounting-b-b-a| Introduction to Global Business|3354|INTB|Advanced-Level Business Required Courses|Additional Requirements
Accounting, B.B.A.|accounting-b-b-a| Global Environment of Business|3355|INTB|Advanced-Level Business Required Courses|Additional Requirements
Accounting, B.B.A.|accounting-b-b-a| Business Law and Ethics|4350|GENB|Advanced-Level Business Required Courses|Additional Requirements
