filename|name|number|rubric|requirement|component
accounting-b-b-a.html| Financial Reporting Frameworks|3366|ACCT|Accounting Major Coursework (36 Credit Hours)|Requirements
accounting-b-b-a.html| Intermediate Accounting I|3367|ACCT|Accounting Major Coursework (36 Credit Hours)|Requirements
accounting-b-b-a.html| Intermediate Accounting II|3368|ACCT|Accounting Major Coursework (36 Credit Hours)|Requirements
accounting-b-b-a.html| Accounting Information Systems|3371|ACCT|Accounting Major Coursework (36 Credit Hours)|Requirements
accounting-b-b-a.html| Cost Accounting|3377|ACCT|Accounting Major Coursework (36 Credit Hours)|Requirements
accounting-b-b-a.html| Federal Income Tax-Individual|4331|ACCT|Accounting Major Coursework (36 Credit Hours)|Requirements
accounting-b-b-a.html| Financial Statement Auditing|4335|ACCT|Accounting Major Coursework (36 Credit Hours)|Requirements
accounting-b-b-a.html| First Year Writing I|1303|ENGL|UH Core Courses & College Requirements|Requirements
accounting-b-b-a.html| First Year Writing II|1304|ENGL|UH Core Courses & College Requirements|Requirements
accounting-b-b-a.html| Connecting Bauer to Business|3302|GENB|UH Core Courses & College Requirements|Requirements
accounting-b-b-a.html| Introduction to Psychology|1300|PSYC|UH Core Courses & College Requirements|Requirements
accounting-b-b-a.html| Introduction to Sociology|1300|SOC|UH Core Courses & College Requirements|Requirements
accounting-b-b-a.html| Introduction to Computers and Management Information Systems|3300|MIS|Pre-Business Courses|Requirements
accounting-b-b-a.html| Finite Math with Applications|1313|MATH|Pre-Business Courses|Requirements
accounting-b-b-a.html| Calculus for Business and the Life Sciences|1314|MATH|Pre-Business Courses|Requirements
accounting-b-b-a.html| Calculus I|1431|MATH|Pre-Business Courses|Requirements
accounting-b-b-a.html|Financial|2331|ACCT|Pre-Business Courses|Requirements
accounting-b-b-a.html| Accounting Principles 2 -Managerial|2332|ACCT|Pre-Business Courses|Requirements
accounting-b-b-a.html| Microeconomic Principles|2304|ECON|Pre-Business Courses|Requirements
accounting-b-b-a.html| Macroeconomic Principles|2305|ECON|Pre-Business Courses|Requirements
accounting-b-b-a.html| Statistical Analysis for Business Applications I|3331|STAT|Statistics 3331 - Statistical Analysis for Business Applications|Requirements
accounting-b-b-a.html| The United States To 1877|1376|HIST|Additional UH Core Courses|Requirements
accounting-b-b-a.html| The U S To 1877|1377|HIST|Additional UH Core Courses|Requirements
accounting-b-b-a.html| The U S Since 1877|1378|HIST|Additional UH Core Courses|Requirements
accounting-b-b-a.html| The United States Since 1877|1379|HIST|Additional UH Core Courses|Requirements
