program_slug,program_name,name,number,rubric,requirement,component
accounting-bba,Accounting BBA,Finite Mathematics with Applications,1305,MATH,Lower Level,Business Core Requirements (45-48 hours)
accounting-bba,Accounting BBA,Fundamentals of Calculus with Applications,1306,MATH,Lower Level,Business Core Requirements (45-48 hours)
accounting-bba,Accounting BBA,Financial Accounting,2301,ACC,Lower Level,Business Core Requirements (45-48 hours)
accounting-bba,Accounting BBA,Managerial Accounting,2302,ACC,Lower Level,Business Core Requirements (45-48 hours)
accounting-bba,Accounting BBA,Principles of Economics I,2301,ECO,Lower Level,Business Core Requirements (45-48 hours)
accounting-bba,Accounting BBA,Principles of Economics II,2302,ECO,Lower Level,Business Core Requirements (45-48 hours)
accounting-bba,Accounting BBA,Business Cornerstone,3300,BA,Upper Level,Business Core Requirements (45-48 hours)
accounting-bba,Accounting BBA,Legal Environment of Business,3301,BA,Upper Level,Business Core Requirements (45-48 hours)
accounting-bba,Accounting BBA,Principles of Marketing,3301,MKT,Upper Level,Business Core Requirements (45-48 hours)
accounting-bba,Accounting BBA,Principles of Management and Organization Behavior,3301,MGT,Upper Level,Business Core Requirements (45-48 hours)
accounting-bba,Accounting BBA,Business Communication,3350,BA,Upper Level,Business Core Requirements (45-48 hours)
accounting-bba,Accounting BBA,Management of Information Systems,3302,MIS,Upper Level,Business Core Requirements (45-48 hours)
accounting-bba,Accounting BBA,Statistical Analysis for Business Applications I,3309,STAT,Upper Level,Business Core Requirements (45-48 hours)
accounting-bba,Accounting BBA,Business Finance,3302,FIN,Upper Level,Business Core Requirements (45-48 hours)
accounting-bba,Accounting BBA,Operations and Supply Chain Management,3332,MGT,Upper Level,Business Core Requirements (45-48 hours)
accounting-bba,Accounting BBA,Business Strategy,4302,BA,Upper Level,Business Core Requirements (45-48 hours)
accounting-bba,Accounting BBA,Intermediate Accounting I,3300,ACC,Accounting Major Requirements (27 hours),Accounting Major Requirements (27 hours)
accounting-bba,Accounting BBA,Intermediate Accounting II,3301,ACC,Accounting Major Requirements (27 hours),Accounting Major Requirements (27 hours)
accounting-bba,Accounting BBA,Intermediate Accounting III,3302,ACC,Accounting Major Requirements (27 hours),Accounting Major Requirements (27 hours)
accounting-bba,Accounting BBA,Cost Accounting,3303,ACC,Accounting Major Requirements (27 hours),Accounting Major Requirements (27 hours)
accounting-bba,Accounting BBA,Accounting Information Systems,3304,ACC,Accounting Major Requirements (27 hours),Accounting Major Requirements (27 hours)
accounting-bba,Accounting BBA,Individual Income Taxation,4301,ACC,Accounting Major Requirements (27 hours),Accounting Major Requirements (27 hours)
accounting-bba,Accounting BBA,Corporation Taxation,4302,ACC,Accounting Major Requirements (27 hours),Accounting Major Requirements (27 hours)
accounting-bba,Accounting BBA,Advanced Accounting,4303,ACC,Accounting Major Requirements (27 hours),Accounting Major Requirements (27 hours)
accounting-bba,Accounting BBA,Auditing,4304,ACC,Accounting Major Requirements (27 hours),Accounting Major Requirements (27 hours)
accounting-bba,Accounting BBA,Small Business Finance,3301,FIN,Group A,Financial Reporting
accounting-bba,Accounting BBA,Treasury Risk Management,3306,FIN,Group A,Financial Reporting
