program_name,program_slug
Accounting BBA,accounting-bba
Applied Administration BAAS,applied-administration-baas
Applied Administration Fire Protection Engineering Technology Concentration BAAS,applied-administration-fire-protection-engineering-technology-concentration-baas
Applied Administration Manufacturing And Process Engineering Technology Concentration BAAS,applied-administration-manufacturing-and-process-engineering-technology-concentration-baas
Applied Administration Petroleum Engineering Technology Concentration BAAS,applied-administration-petroleum-engineering-technology-concentration-baas
Applied Administration Safety Management Concentration BAAS,applied-administration-safety-management-concentration-baas
Applied Statistics Biostatistics Concentration BS,applied-statistics-biostatistics-concentration-bs
Applied Statistics BS,applied-statistics-bs
Applied Statistics Secondary Mathematics Teacher Certification BS,applied-statistics-secondary-mathematics-teacher-certification-bs
Biological And Physical Sciences BS,biological-and-physical-sciences-bs
Biological And Physical Sciences Teacher Certification Concentration BS,biological-and-physical-sciences-teacher-certification-concentration-bs
Biology BS,biology-bs
Biology Environmental Biosciences Concentration BS,biology-environmental-biosciences-concentration-bs
Biology Microbiology Concentration BS,biology-microbiology-concentration-bs
Biology Molecular And Cellular Biosciences Concentration BS,biology-molecular-and-cellular-biosciences-concentration-bs
Biotechnology BS,biotechnology-bs
Chemistry Biochemistry Concentration BS,chemistry-biochemistry-concentration-bs
Chemistry BS,chemistry-bs
Chemistry Environmental Chemistry Concentration BS,chemistry-environmental-chemistry-concentration-bs
Chemistry Forensic Science Concentration BS,chemistry-forensic-science-concentration-bs
Chemistry Industrial Chemistry Concentration BS,chemistry-industrial-chemistry-concentration-bs
Communication Studies Corporate Communications Concentration BA,communication-studies-corporate-communications-concentration-ba
Communication Studies Health Communications Concentration BA,communication-studies-health-communications-concentration-ba
Communication Studies Interpersonal Communications Concentration BA,communication-studies-interpersonal-communications-concentration-ba
Communication Studies Rhetorical Public Communication Concentration BA,communication-studies-rhetorical-public-communication-concentration-ba
Computer Science BS,computer-science-bs
Control And Instrumentation Engineering Technology BSET,control-and-instrumentation-engineering-technology-bset
Criminal Justice BAAS,criminal-justice-baas
Criminal Justice BS,criminal-justice-bs
English BA,english-ba
English Creative Writing Concentration BA,english-creative-writing-concentration-ba
English English Education Concentration BA,english-english-education-concentration-ba
English Film Studies Concentration BA,english-film-studies-concentration-ba
Finance BBA,finance-bba
Fine Arts BA,fine-arts-ba
General Business BBA,general-business-bba
Geosciences Environmental Geology Concentration BS,geosciences-environmental-geology-concentration-bs
Geosciences Geochemistry Concentration BS,geosciences-geochemistry-concentration-bs
Geosciences Petroleum Geotechnology Concentration BS,geosciences-petroleum-geotechnology-concentration-bs
Health And Behavioral Science Aging Concentration BS,health-and-behavioral-science-aging-concentration-bs
Health And Behavioral Science Healthcare Navigation Concentration BS,health-and-behavioral-science-healthcare-navigation-concentration-bs
History BA,history-ba
History History Secondary Education Concentration BA,history-history-secondary-education-concentration-ba
History History Social Studies Secondary Education Concentration BA,history-history-social-studies-secondary-education-concentration-ba
Humanities Critical Race Studies Concentration BA,humanities-critical-race-studies-concentration-ba
Humanities Cultural Studies Concentration BA,humanities-cultural-studies-concentration-ba
Humanities Latino Studies Concentration BA,humanities-latino-studies-concentration-ba
Humanities Religious Studies Concentration BA,humanities-religious-studies-concentration-ba
Insurance Risk Management BBA,insurance-risk-management-bba
Interdisciplinary Studies BS,interdisciplinary-studies-bs
Interdisciplinary Studies Early Childhood Fourth Eighth Grade Core Subjects With Esl Supplemental Certification BA,interdisciplinary-studies-early-childhood-fourth-eighth-grade-core-subjects-with-esl-supplemental-certification-ba
Interdisciplinary Studies Early Childhood Sixth Grade Core Subjects With Bilingual Supplemental Certification BA,interdisciplinary-studies-early-childhood-sixth-grade-core-subjects-with-bilingual-supplemental-certification-ba
Interdisciplinary Studies Early Childhood Sixth Grade Core Subjects With Esl Supplemental Certification BA,interdisciplinary-studies-early-childhood-sixth-grade-core-subjects-with-esl-supplemental-certification-ba
Interdisciplinary Studies Secondary EDUCATION,interdisciplinary-studies-secondary-education
International Business BBA,international-business-bba
Management BBA,management-bba
Management Information Systems BBA,management-information-systems-bba
Marketing BBA,marketing-bba
Mathematics BA,mathematics-ba
Mathematics BS,mathematics-bs
Mathematics Secondary Mathematics Teacher Certification BA,mathematics-secondary-mathematics-teacher-certification-ba
Philosophy BA,philosophy-ba
Political Science BS,political-science-bs
Professional Writing BS,professional-writing-bs
Psychology BS,psychology-bs
Safety Management BAAS,safety-management-baas
Social Sciences BA,social-sciences-ba
Social Sciences BS,social-sciences-bs
Social Work BSW,social-work-bsw
Social Work Spanish Track Option BSW,social-work-spanish-track-option-bsw
Sociology BS,sociology-bs
Spanish BA,spanish-ba
Structural Analysis Design Option In Engineering Technology BSET,structural-analysis-design-option-in-engineering-technology-bset
Supply Chain Management BBA,supply-chain-management-bba
